decimalLongitude,decimalLatitude,agricultural,built,coast,forest,other,sand/heather,water,wetland,main_habitat
4.9,51.4,9.891,1.9314,0.0,2.4192,1.3621999999999999,0.0002,0.0305,0.001,agricultural
4.95,51.4,6.925300000000001,0.4312,0.0,0.3918,0.7339,0.0001,0.0075,0.0,agricultural
5.05,51.4,0.5783,0.0313,0.0,1.963,0.1946,0.038,0.0181,0.0156,forest
5.1,51.4,6.3254,0.8789,0.0,9.3521,2.1186000000000003,0.2598,0.077,0.1257,forest
5.15,51.4,10.231,0.814,0.0,4.9322,1.2125,0.2736,0.039,1.8401999999999998,agricultural
5.2,51.4,9.716800000000001,1.2626,0.0,4.6622,1.0885,0.2181,0.0422,2.3556999999999997,agricultural
5.25,51.4,11.1575,1.7755,0.0,4.5601,1.5551,0.128,0.0276,0.1323,agricultural
5.3,51.4,9.7302,1.506,0.0,6.279,1.4422000000000001,0.0961,0.0319,0.2452,agricultural
5.35,51.4,5.5483,6.7134,0.0,1.5147,5.5503,0.0,0.056900000000000006,0.0,built
5.4,51.4,1.2703,11.7494,0.0,0.6663,5.1394,0.0060999999999999995,0.49860000000000004,0.0467,built
5.45,51.4,1.3101,11.7801,0.0,0.9157000000000001,4.9292,0.0885,0.2904,0.0089,built
5.5,51.4,4.4189,7.8792,0.0,2.5763,3.1203000000000003,0.8361,0.2528,0.267,built
5.55,51.4,3.2877,5.3246,0.0,4.719,3.8918,1.4739,0.23900000000000002,0.4072,built
5.6,51.4,4.3351,3.0572,0.0,4.1428,1.3966,4.8064,0.0506,1.5539,sand/heather
5.65,51.4,10.4017,2.0632,0.0,4.3515,1.7350999999999999,0.3607,0.3232,0.107,agricultural
5.7,51.4,9.9218,3.8153,0.0,3.1813,2.2437,0.0163,0.166,0.0,agricultural
5.75,51.4,10.0792,3.457,0.0,3.3085,2.3948,0.0155,0.0914,0.0,agricultural
5.8,51.4,12.3391,2.9098,0.0,1.7827,2.2236,0.035500000000000004,0.0514,0.0,agricultural
5.85,51.4,6.2254,0.4977,0.0,4.307099999999999,0.5545,0.0298,0.1759,7.5535000000000005,wetland
5.9,51.4,8.406699999999999,0.546,0.0,2.8674,0.3464,0.6909,0.0567,6.4307,agricultural
5.95,51.4,12.3687,2.0364,0.0,2.3504,2.4586,0.0664,0.063,0.0,agricultural
6.0,51.4,10.4308,5.8325,0.0,0.9324999999999999,2.0576,0.0,0.0918,0.0,agricultural
